年度,英文名,中文名,色号,RGB值
2000,Cerulean,蔚蓝色,15-4020,"#9BB7D1"
2001,Fuchsia Rose,玫红色,17-2031,"#C74375"
2002,True Red,正红色,19-1664,"#BF1932"
2003,Aqua Sky,水空蓝,14-4811,"#7BC4C4"
2004,Tigerlily,虎百合橙,17-1456,"#E2583E"
2005,Blue Turquoise,蓝松石色,15-5217,"#53B0AE"
2006,Sand Dollar,沙色,13-1106,"#DECDBE"
2007,Chili Pepper,辣椒红,19-1557,"#9B1B30"
2008,Blue Iris,鸢尾蓝,18-3943,"#5A5B9C"
2009,Mimosa,含羞草黄,14-0848,"#F0C05A"
2010,Turquoise,松石绿,15-5519,"#45B5AA"
2011,Honeysuckle,忍冬红,18-2120,"#D94F70"
2012,Tangerine Tango,探戈橙,17-1463,"#DD4124"
2013,Emerald,翡翠绿,17-5641,"#009473"
2014,Radiant Orchid,璀璨兰花紫,18-3224,"#B163A3"
2015,Marsala,玛莎拉酒红,18-1438,"#955251"
2016,Rose Quartz,玫瑰石英粉,13-1520,"#F7CAC9"
2016,Serenity,宁静蓝,15-3919,"#92A8D1"
2017,Greenery,草木绿,15-0343,"#88B04B"
2018,Ultra Violet,紫外光,18-3838,"#5F4B8B"
2019,Living Coral,活珊瑚橘,16-1546,"#FF6F61"
2020,Classic Blue,经典蓝,19-4052,"#0F4C81"
2021,Ultimate Gray,终极灰,17-5104,"#939597"
2021,Illuminating,明亮黄,13-0647,"#F5DF4D"
2022,Very Peri,长春花蓝,17-3938,"#6667AB"
2023,Viva Magenta,洋红万岁,18-1750,"#BB2648"
2024,Peach Fuzz,柔和桃,13-1023,"#FFBE98"
2025,Mocha Mousse,摩卡慕斯,17-1230,"#A47864"
2026,Cloud Dancer,云上舞白,11-4201,"#F0EEE9"
